TCK,count,mean,std,min,25%,50%,75%,max
Right-MammillaryBody,24,0.514185934332013,0.402701786252313,-0.820052954692409,0.423442757076771,0.511434391516429,0.83003581208007,0.993079479894922
Left-MammillaryBody,24,0.518150248418805,0.36002935109959,-0.431212611097055,0.229233045344966,0.631478335308938,0.790257486820438,0.989418716333755
L_Area_25,24,0.63788696154246,0.282046381322749,0.079873772116502,0.423358421231134,0.703220226689536,0.884848036498881,0.986876405954092
R_Area_25,24,0.711359383133157,0.255288417937435,0.196228822426039,0.547005630980226,0.79854848970912,0.89579599472658,0.981915795892116
R_posterior_OFC_Complex,24,0.723059221256532,0.264550689899474,-0.020961898855251,0.589992779479729,0.795471879930574,0.927217139018728,0.998194189777074
R_Entorhinal_Cortex,16,0.774162784209358,0.182448588726057,0.300180407422798,0.68584462547859,0.830039813098843,0.905230749587145,0.968145855622694
L_Area_13l,24,0.795491620176722,0.211750374590047,0.22888116467548,0.746516736468932,0.889858103332378,0.937591517360796,0.997090166234261
L_Entorhinal_Cortex,19,0.796427045405458,0.161441173325535,0.447349251660179,0.696802659821542,0.850453407266281,0.912703202231621,0.970979226289326
R_Area_s32,24,0.797487299595451,0.2268830596822,0.260653164836243,0.715995509457699,0.89432968958077,0.972471074470224,0.992464147085889
L_posterior_OFC_Complex,24,0.804236065500451,0.152082774573715,0.468279916987209,0.720988231742784,0.826850981446665,0.946515560147927,0.987578111471965
R_RetroSplenial_Complex,24,0.805542720759019,0.28951462664925,0.043297359119098,0.761912379349222,0.954687462854645,0.985742568971569,0.992966386847506
Right-Basal-nucleus_AND_Right-Lateral-nucleus,24,0.819135257894812,0.221273905623543,0.100926634348667,0.763541222554946,0.897753681566054,0.945834795337034,0.997491577938497
ctx_rh_G_cingul-Post-dorsal_AND_ctx_rh_G_cingul-Post-ventral,24,0.81914380262115,0.238215675206731,0.265507341063977,0.708387951188346,0.942915764355608,0.988308109445998,0.99840479333919
R_Orbital_Frontal_Complex,24,0.855698160214697,0.227349435400697,0.079976235045615,0.828999268750859,0.947858768050448,0.975515034825964,0.993435586155869
R_Area_13l,24,0.85998677847365,0.14628275967567,0.366614820508576,0.815088715963552,0.911232170058213,0.950067383216516,0.990666143933871
ctx_rh_G_and_S_cingul-Ant,24,0.860432438130563,0.236219933169212,0.083655125806044,0.878296699193294,0.965597075174894,0.984398255662331,0.998884899106075
L_Orbital_Frontal_Complex,24,0.861752596695213,0.158504865727624,0.484488726754754,0.86068251776027,0.914709672155551,0.964755924483479,0.996401296177289
Left-Basal-nucleus_AND_Left-Lateral-nucleus,24,0.882270749386674,0.145239822301811,0.419919445155911,0.857513380504389,0.940255985752731,0.960918237012506,0.99236689244731
L_Area_IFJa,24,0.890387530142179,0.153871120989105,0.411186577069021,0.882184289965373,0.951547776111927,0.97720516381263,0.998317596844488
L_Area_TG_dorsal,24,0.894278845050792,0.113718481650862,0.482683948271037,0.859627574053511,0.933834536407086,0.964785884415889,0.993444384187454
L_Area_s32,24,0.897915520164636,0.172025969775408,0.442740260318267,0.932087905076739,0.967317972842355,0.980684323983247,0.999738967888648
R_Area_TG_dorsal,24,0.921802008272212,0.076076171842949,0.668462605820703,0.920228387403055,0.945135194461013,0.956200987244615,0.998589706654469
ctx_lh_G_and_S_cingul-Ant,24,0.927378061516626,0.073519507215678,0.660291060155642,0.893436150898547,0.949468821165022,0.977300969846695,0.991383170662069
R_Area_47m,24,0.928333515855629,0.075581535824748,0.735036543475361,0.927146143983972,0.959402507485698,0.976758884478825,0.997363635795759
L_Area_10v,24,0.929394169755296,0.051683093660943,0.812255591895912,0.907105404583303,0.934195079645284,0.969910106090238,0.998420311908381
L_Polar_10p,24,0.929910407602103,0.068082787310509,0.724733751369204,0.910327660705505,0.952327355435404,0.976607738200237,0.998383254706818
R_Area_IFJp,24,0.930632038151081,0.087552154040857,0.696057221256114,0.934216696916384,0.955598972798556,0.986739993288494,0.998993678130642
L_Area_IFJp,24,0.934448900379844,0.052099868045282,0.783699309406869,0.908988659293921,0.941477415335003,0.982244694973316,0.998394172357543
L_RetroSplenial_Complex,24,0.936543597438629,0.064007968826752,0.737061520832827,0.921257202737436,0.954556137087618,0.983596364061736,0.994664653037767
R_Area_10v,24,0.937050668193453,0.096957815065979,0.540808348463666,0.939507649386936,0.975439455595293,0.988127071947334,0.997955366934585
L_Area_10r,24,0.937972808793764,0.062934342112641,0.76538177037705,0.897742331447603,0.967603395329191,0.982712082517666,0.996976034388549
ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,24,0.940965774891313,0.066556131081243,0.692494120253034,0.928644194051125,0.961523364068185,0.978895796850624,0.996877949917704
R_Area_IFJa,24,0.941055181308013,0.066554429777873,0.754402484970998,0.931148366126051,0.97037755048657,0.98055154631859,0.998230143935659
R_Area_44,24,0.947160528777279,0.0854974050661,0.662023039145627,0.957874212397989,0.983127899694868,0.991779726885599,0.997461710596509
R_Area_p32,24,0.947202080396378,0.071845743108955,0.688024708031834,0.94782221342337,0.975058088724025,0.982988576627544,0.999318684561497
L_Area_p32,24,0.948518349098018,0.068195629116891,0.67037983738089,0.934382480025059,0.972896448718097,0.98483450811677,0.999314711623743
R_Polar_10p,24,0.94889359713651,0.064729080210374,0.689854107381135,0.945258181460559,0.970539513364868,0.979224337757852,0.995884546706321
R_Area_11l,24,0.949100662368898,0.058749537711451,0.788225941040671,0.932692684099894,0.979022561611325,0.985931408298399,0.998263119428441
L_Area_IFSp,24,0.950545266068209,0.084253289279359,0.624807055173262,0.961348210255381,0.980144370452182,0.990752369709471,0.999721194362425
L_Area_44,24,0.95221736912018,0.051327575887837,0.819628895628362,0.924718901986364,0.975192526008658,0.99175478654418,0.999410139915631
L_Area_47s,24,0.955558244158343,0.056593672089054,0.736154394297099,0.931274984847311,0.969230745336879,0.991189150916044,0.999733438363447
R_Area_10r,24,0.955774999233892,0.054380649406265,0.772438574652169,0.944716674602468,0.978086075427105,0.988868480143778,0.997845590729825
L_Area_11l,24,0.957624531433259,0.052562094919606,0.736517996433764,0.949617875351525,0.976001852959951,0.986266773875813,0.99929963894293
R_Area_IFSp,24,0.961057834778516,0.062633557372386,0.717118643595122,0.973568664314379,0.983772170940886,0.990918348337137,0.999620686521364
R_Area_47s,24,0.962701946365338,0.03558526462708,0.87286436684979,0.944609660270475,0.977344074668198,0.990584090929779,0.999815866405574
R_Area_anterior_10p,24,0.966502997506134,0.024412168295966,0.892560230182872,0.957324149315066,0.969018625572888,0.981620127247055,0.999244605533174
L_Area_10d,24,0.970351380725595,0.03995704861938,0.811714424528024,0.966721717752809,0.98248883145769,0.991151791241301,0.999423754918119
R_Area_8C,24,0.974566143539035,0.032330837747519,0.847928473155275,0.96818062366076,0.984956940640265,0.993968514553315,0.999445941602824
L_Area_posterior_10p,24,0.975058791314671,0.029149030977131,0.891195132811988,0.97216409738798,0.98703904643771,0.992937209016718,0.99948031303502
L_Area_anterior_10p,24,0.975073485272523,0.020966137048429,0.903503107575905,0.972474160114316,0.979481505722419,0.986585933464996,0.99952869209785
R_Area_posterior_9-46v,24,0.975897552175585,0.032916894283603,0.858204082062808,0.976453911372123,0.986463986789446,0.993984175063359,0.999775767506811
R_Area_posterior_10p,24,0.976306420590976,0.030468369137008,0.838764025683205,0.974432641485247,0.981132757540026,0.98796659000321,0.999224723783394
L_Area_47m,24,0.97677393713598,0.013361382228286,0.947978293760284,0.968402148547875,0.980432461776647,0.985542917052563,0.997101294313662
R_Area_10d,24,0.979079257673063,0.018155608782046,0.926799955900187,0.9770309427825,0.984404964056687,0.989495651781248,0.999363559619586
L_Area_8C,24,0.980383013244595,0.018283475045861,0.931392858641092,0.973531519805191,0.98797563870734,0.991703094042226,0.999076432877188
L_Area__IFSa,24,0.980789005551786,0.015641492329154,0.945603549103607,0.970494950936423,0.986892776013951,0.991832825497625,0.999442321326914
L_Inferior_6-8_Transitional_Area,24,0.982249440471545,0.019196180012452,0.905064304536361,0.978322267281638,0.986959290421739,0.992098716814835,0.998322426525652
R_Area_anterior_47r,24,0.983126451469878,0.024296347091668,0.874852752296821,0.984506025202647,0.989744512691852,0.992730105100554,0.999513954356075
L_Area_8Av,24,0.983652586240682,0.02447254330451,0.881088893713862,0.985784874166469,0.991044294144287,0.995080804661894,0.99853665843266
R_Inferior_6-8_Transitional_Area,24,0.984439637369322,0.02783601048975,0.86374897978001,0.985708306112347,0.993091488987792,0.996832814621423,0.998894729185245
R_Area_47l,24,0.985387921526831,0.013743336528583,0.935996428189423,0.981598375231528,0.98932864950665,0.994154578427741,0.999789832024166
L_Area_anterior_47r,24,0.985770942812655,0.009390910562172,0.963869183759672,0.98076854516018,0.988716526088008,0.991797706203977,0.999411019079255
L_Area_posterior_9-46v,24,0.986844452877571,0.012217233451599,0.946598189291019,0.985358914988954,0.990231063726594,0.993390783575583,0.999319495340109
R_Area__IFSa,24,0.987465676493387,0.011578207374827,0.953926467645198,0.984708471582733,0.990936530907026,0.995218353172022,0.998974339461269
R_Area_posterior_47r,24,0.9875329513392,0.01454969578199,0.925880716354362,0.983321328196174,0.992367217978109,0.995394353016517,0.997985160906515
L_Area_47l,24,0.987603154233127,0.008903165148237,0.962724362171484,0.98523486247604,0.988221491105106,0.993850130355592,0.998991778154077
L_Area_anterior_9-46v,24,0.987684676632568,0.010288613686756,0.962674114835817,0.984800071304718,0.991031424860838,0.994879654484129,0.998594770612245
L_Area_45,24,0.9881117537505,0.012213238787989,0.938741269097374,0.987674273868731,0.990694574207458,0.993579066100092,0.999699508975398
R_Area_9_Middle,24,0.98817638483908,0.015981514168759,0.920990711231517,0.987485752357882,0.99252731673518,0.996203729389625,0.999541357060253
L_Area_posterior_47r,24,0.988287199536654,0.007664968332497,0.968067948069681,0.985749027377065,0.990602982906523,0.993105765809545,0.999466598548944
R_Area_46,24,0.988632378085478,0.010882390557673,0.951518738393064,0.984461590096548,0.990938292622824,0.99626990379481,0.99988809694209
L_Area_9_anterior,24,0.989035876591384,0.009892071904901,0.955681211111775,0.984022422162768,0.992557510203019,0.995162955841218,0.99931592906393
R_Area_45,24,0.989302941307365,0.010539515335969,0.944927910010208,0.987864752015171,0.992426283782517,0.994427707643642,0.999927566296527
R_Area_8Av,24,0.98938474623778,0.011981088316016,0.943228282273625,0.986153002893082,0.993937317298166,0.99607700145785,0.999857772497336
R_Area_9_anterior,24,0.989472769292255,0.010830861606461,0.945647167644838,0.987721023217323,0.992744828361459,0.995328102595268,0.999290232874626
L_Superior_6-8_Transitional_Area,24,0.989686233462263,0.013156659680387,0.93518698836873,0.988723178143696,0.992914720101111,0.996698428249962,0.999107999650139
L_Area_8Ad,24,0.989846813329483,0.011843495808945,0.960016352220488,0.988279153918546,0.994975673060407,0.997354748228036,0.998810163531246
L_Area_9_Middle,24,0.990630752005686,0.006336608869722,0.977102759878987,0.986540744879819,0.992724015841147,0.994973418013995,0.999572051907226
R_Superior_6-8_Transitional_Area,24,0.990782966293617,0.013212912507636,0.934181795796827,0.990076070054346,0.994424636122693,0.997316227734328,0.999284433693912
L_Area_9-46d,24,0.990956821299958,0.007479261423629,0.974800826466341,0.98658891274204,0.993671139008743,0.996941209692463,0.999755006576421
R_Area_anterior_9-46v,24,0.991175367283831,0.006687084982402,0.969392575452147,0.991588932909377,0.993304707980401,0.994524736080087,0.998855527649117
L_Area_9_Posterior,24,0.991555957252626,0.006167152520495,0.972855156717398,0.988618530424679,0.993857751967773,0.996107363556661,0.998486214182666
L_Area_46,24,0.991674231635124,0.00586804656629,0.972890372599939,0.98826846675188,0.993437255947155,0.995411091690278,0.999582718285419
R_Area_9-46d,24,0.992124128960264,0.006792773162762,0.969714462115167,0.990100877470786,0.994388099562088,0.996277659995196,0.999434198658092
R_Area_9_Posterior,24,0.992191202089235,0.007732388376946,0.965437411368364,0.991787694403185,0.99437887912325,0.996680236824115,0.998976266721871
R_Superior_Frontal_Language_Area,24,0.992300372750912,0.0074272231985,0.973575264493128,0.991206213465754,0.995343990417221,0.996899547301245,0.99930279009617
L_Area_8B_Lateral,24,0.993259753882223,0.005647950317761,0.973505674640206,0.991799734916292,0.994910853810767,0.996996798039996,0.998944856497088
R_Area_8Ad,24,0.99365931708473,0.00679333921661,0.967646807377412,0.993197900477871,0.996062163291018,0.997403517260765,0.999202549712951
L_Area_8BM,24,0.994656899464235,0.002799498303589,0.989834233444893,0.992160204427957,0.994967900805806,0.996505564135962,0.999608192809163
R_Area_8B_Lateral,24,0.994686531507276,0.004198807320017,0.984144245525114,0.992928114331758,0.996295769967179,0.9976137829851,0.998968394386348
R_Area_8BM,24,0.994892384177648,0.003997049017933,0.979801329270331,0.994027747623686,0.995602180603236,0.996686872075184,0.999885877543677
L_Superior_Frontal_Language_Area,24,0.995358973168846,0.002810537189513,0.987844352168876,0.992990487942903,0.996109199156319,0.997664690725062,0.999429064779784
